0.873936,0.0823443,64.1086
0.483257,-0.13812,5.28447
-0.699141,0.133981,30.0066
0.518888,-0.0585706,21.8878
-0.834831,-0.0394168,58.6699
0.473871,-0.148158,2.66101
0.254377,-0.159147,17.9815
-0.724783,0.159613,30.6804
-0.654389,0.0395379,36.2038
0.812675,0.12432,61.4909
-0.791203,0.143647,41.6798
0.223222,0.072109,27.7945
0.530111,-0.0389968,25.9407
-0.841652,0.0903116,52.4474
-0.590105,0.175016,11.1319
0.764626,-0.141481,38.0229
-0.461855,0.128196,4.95029
0.523379,-0.102719,15.0649
-0.334455,0.164838,12.8498
0.26407,-0.0614279,2.30893
0.245624,0.0695674,28.3974
0.645902,-0.0502952,34.1246
0.840144,-0.0422351,54.8917
0.402772,-0.164443,6.88586
0.980172,-0.065882,78.1865
-0.245982,-0.0421062,22.9871
-0.560533,0.175292,7.57842
0.384133,-0.0571083,11.6393
-0.369916,0.0732486,7.43545
0.643515,-0.100992,27.4599
-0.350685,-0.0818933,35.588
0.690608,-0.199412,21.4103
0.297705,-0.103097,3.91724
0.363273,-0.146736,7.1539
0.76645,0.0605202,54.5638
0.234839,-0.059173,0.843962
0.696895,0.125246,55.7534
0.335767,0.0479293,28.8192
-0.967339,0.142426,73.9302
0.706555,0.054863,50.14
-0.34709,-0.0801529,35.1267
0.453094,-0.179397,4.66274
0.646785,-0.0703033,31.7066
0.419756,-0.185768,8.97446
-0.90139,0.0707454,62.0767
-0.62917,0.180932,15.2139
0.265357,0.0969438,34.3953
-0.513533,-0.00387363,31.5004
-0.622165,0.0364033,33.8057
0.526915,-0.0293896,27.214
-0.395255,-0.0294955,28.659
0.71553,-0.0453683,41.2473
-0.606053,0.0546085,29.9673
-0.751904,0.0975725,40.2618
-0.924616,-0.152547,70.9393
0.928621,-0.102483,65.9017
-0.539247,0.0587722,23.5597
0.903002,0.0234763,65.2431
0.839601,0.0651708,60.3839
0.62053,0.0964411,49.6334
-0.978432,-0.0728343,78.4899
0.443098,0.0165371,29.1599
0.626203,-0.177481,15.2926
0.475808,-0.00285462,27.9305
-0.262492,-0.108847,36.3599
-0.682148,0.172982,23.2839
-0.85168,0.0594938,55.4379
-0.434849,0.187994,7.89334
0.48175,-0.119813,8.26622
0.604878,-0.0976097,23.861
-0.71919,0.00215666,45.7731
-0.739916,-0.0142616,48.941
0.755145,-0.0026971,48.8041
